Dataset,"BIS Selected property prices"
Retrieved on,Thu Feb 16 15:37:05 GMT 2017
Subject,"BIS property prices: selected series"
"Frequency","Quarterly"
"Unit Multiplier","Units"
"Frequency","Reference area","Value","Unit of measure","Time Period","1966-Q1","1966-Q2","1966-Q3","1966-Q4","1967-Q1","1967-Q2","1967-Q3","1967-Q4","1968-Q1","1968-Q2","1968-Q3","1968-Q4","1969-Q1","1969-Q2","1969-Q3","1969-Q4","1970-Q1","1970-Q2","1970-Q3","1970-Q4","1971-Q1","1971-Q2","1971-Q3","1971-Q4","1972-Q1","1972-Q2","1972-Q3","1972-Q4","1973-Q1","1973-Q2","1973-Q3","1973-Q4","1974-Q1","1974-Q2","1974-Q3","1974-Q4","1975-Q1","1975-Q2","1975-Q3","1975-Q4","1976-Q1","1976-Q2","1976-Q3","1976-Q4","1977-Q1","1977-Q2","1977-Q3","1977-Q4","1978-Q1","1978-Q2","1978-Q3","1978-Q4","1979-Q1","1979-Q2","1979-Q3","1979-Q4","1980-Q1","1980-Q2","1980-Q3","1980-Q4","1981-Q1","1981-Q2","1981-Q3","1981-Q4","1982-Q1","1982-Q2","1982-Q3","1982-Q4","1983-Q1","1983-Q2","1983-Q3","1983-Q4","1984-Q1","1984-Q2","1984-Q3","1984-Q4","1985-Q1","1985-Q2","1985-Q3","1985-Q4","1986-Q1","1986-Q2","1986-Q3","1986-Q4","1987-Q1","1987-Q2","1987-Q3","1987-Q4","1988-Q1","1988-Q2","1988-Q3","1988-Q4","1989-Q1","1989-Q2","1989-Q3","1989-Q4","1990-Q1","1990-Q2","1990-Q3","1990-Q4","1991-Q1","1991-Q2","1991-Q3","1991-Q4","1992-Q1","1992-Q2","1992-Q3","1992-Q4","1993-Q1","1993-Q2","1993-Q3","1993-Q4","1994-Q1","1994-Q2","1994-Q3","1994-Q4","1995-Q1","1995-Q2","1995-Q3","1995-Q4","1996-Q1","1996-Q2","1996-Q3","1996-Q4","1997-Q1","1997-Q2","1997-Q3","1997-Q4","1998-Q1","1998-Q2","1998-Q3","1998-Q4","1999-Q1","1999-Q2","1999-Q3","1999-Q4","2000-Q1","2000-Q2","2000-Q3","2000-Q4","2001-Q1","2001-Q2","2001-Q3","2001-Q4","2002-Q1","2002-Q2","2002-Q3","2002-Q4","2003-Q1","2003-Q2","2003-Q3","2003-Q4","2004-Q1","2004-Q2","2004-Q3","2004-Q4","2005-Q1","2005-Q2","2005-Q3","2005-Q4","2006-Q1","2006-Q2","2006-Q3","2006-Q4","2007-Q1","2007-Q2","2007-Q3","2007-Q4","2008-Q1","2008-Q2","2008-Q3","2008-Q4","2009-Q1","2009-Q2","2009-Q3","2009-Q4","2010-Q1","2010-Q2","2010-Q3","2010-Q4","2011-Q1","2011-Q2","2011-Q3","2011-Q4","2012-Q1","2012-Q2","2012-Q3","2012-Q4","2013-Q1","2013-Q2","2013-Q3","2013-Q4","2014-Q1","2014-Q2","2014-Q3","2014-Q4","2015-Q1","2015-Q2","2015-Q3","2015-Q4","2016-Q1","2016-Q2","2016-Q3","2016-Q4"
"Q:Quarterly","KR:Korea","N:Nominal","771:Year-on-year changes, in per cent","Q:KR:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.03","-1.95","0.52","6.15","11.47","17.53","19.52","13.87","13.7","16.23","12.64","13.93","15.46","14.92","17.21","20.81","17.51","13.4","9.61","1.93","-3.11","-8.21","-8.59","-6.05","-4.27","-3.21","-2.97","-3.3","-2.89","-2.23","-0.98","-0.3","-0.23","-0.07","-0.1","-0.2","0.2","0.53","0.76","1.36","2.98","3.24","3.14","2.47","-2.36","-9.75","-11.86","-12.8","-8.78","-1.34","2.07","3.78","2.68","2.47","1.35","0.71","-0.01","1.59","5.6","8.59","15.17","17.44","16.95","17.03","11.27","10.16","8.32","6.6","5","2.3","-0.24","-2.31","-1.8","-0.52","2.14","3.44","4.84","5.6","4.88","9.28","11.96","9.9","9.23","5.27","2.69","4.39","5.05","3.94","1.56","-0.54","-0.86","0.66","2.68","3.18","2.2","1.66","2.83","4.77","6.4","7.03","5.79","3.63","1.86","0.29","-0.45","-0.8","-0.61","0.11","0.8","1.39","1.78","2.1","2.21","2.96","3.92","4.34","4.13","3.01","2.05","1.49"
"Q:Quarterly","KR:Korea","R:Real","628:Index, 2010 = 100","Q:KR:R:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120.98","118.99","117.74","118.02","116.37","113.91","114.37","118.78","120.67","124.88","127.65","126.63","129.94","137.44","136.09","136.17","139.38","145.23","146.36","151.09","149.25","151.28","146.74","140.76","134.96","129.78","126.51","126.26","123.48","119.99","117.53","115.77","112.57","110.84","108.85","109.09","107.21","105.67","104.65","104.24","102.62","101.29","100.37","100.55","100.95","100.51","99.57","98.08","90.49","83.86","82","80.7","81.96","82.25","83.15","82.68","82.57","82.96","81.83","81.21","79.62","80.23","82.89","85.37","89.44","91.76","94.57","96.69","95.63","97.85","99.29","99.57","97.25","96.8","94.94","94.1","92.49","93.51","94.77","95","94.98","96.58","96.95","101.65","104.25","103.61","103.52","103.51","103.14","103.17","103.03","102.96","100.8","99.84","100.17","101.2","100.5","100.34","99.51","99.66","99.52","101.11","101.5","102.6","102.21","102.29","101.75","101.16","100.18","100.25","99.77","100.2","99.86","100.03","100.16","101.31","101.5","102.44","103.39","104.59","104.61","104.63","104.7","104.71"
"Q:Quarterly","KR:Korea","R:Real","771:Year-on-year changes, in per cent","Q:KR:R:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.82","-4.27","-2.87","0.65","3.7","9.63","11.62","6.6","7.68","10.06","6.61","7.53","7.26","5.66","7.54","10.96","7.08","4.17","0.26","-6.84","-9.58","-14.21","-13.79","-10.3","-8.5","-7.54","-7.1","-8.31","-8.84","-7.63","-7.39","-5.77","-4.76","-4.67","-3.86","-4.45","-4.28","-4.14","-4.09","-3.54","-1.63","-0.77","-0.8","-2.46","-10.36","-16.57","-17.65","-17.72","-9.42","-1.92","1.41","2.46","0.74","0.87","-1.58","-1.79","-3.57","-3.29","1.3","5.12","12.34","14.37","14.08","13.27","6.92","6.63","5","2.98","1.69","-1.08","-4.38","-5.49","-4.9","-3.4","-0.19","0.95","2.7","3.29","2.3","7.01","9.76","7.28","6.78","1.83","-1.07","-0.43","-0.47","-0.54","-2.27","-3.22","-2.78","-1.71","-0.3","0.5","-0.65","-1.52","-0.97","0.76","2","2.95","2.7","1.17","0.25","-1.4","-1.98","-2","-1.95","-0.95","-0.33","-0.22","0.39","1.1","1.64","2.42","3.22","3.24","3.07","2.14","1.27","0.11"
"Q:Quarterly","LT:Lithuania","N:Nominal","628:Index, 2010 = 100","Q:LT:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.33","36.22","30.86","29.42","29.15","29.97","28.01","26.74","28.74","33.47","31.34","35.26","40.41","36.91","37.32","39.07","40.51","47.34","44.39","45.35","44.46","48.99","46.86","52.87","59.67","72.82","70.21","76.18","98.02","102.85","103.8","114.26","126.81","132.13","137.6","146.57","149.25","154.27","159.72","156.87","145.52","116.35","110.2","105.13","100.24","98.28","100.44","99.68","101.6","105.93","106.74","106.49","107.25","106.88","105.75","106.81","105.99","106.72","108.31","106.41","109.16","110.84","115.33","117.2","114.91","115.78","119.35","121.22","118.7","119.69","123.41","127.65",""
"Q:Quarterly","LT:Lithuania","N:Nominal","771:Year-on-year changes, in per cent","Q:LT:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-15.1","-17.25","-9.23","-9.1","-1.41","11.68","11.89","31.84","40.62","10.26","19.06","10.81","0.25","28.28","18.95","16.08","9.75","3.48","5.57","16.58","34.21","48.63","49.82","44.09","64.27","41.24","47.85","49.98","29.38","28.47","32.56","28.28","17.7","16.76","16.08","7.03","-2.5","-24.58","-31","-32.98","-31.12","-15.53","-8.86","-5.18","1.36","7.78","6.27","6.83","5.56","0.9","-0.93","0.3","-1.17","-0.15","2.42","-0.37","2.99","3.86","6.48","10.14","5.27","4.46","3.49","3.43","3.3","3.38","3.4","5.3",""
"Q:Quarterly","LT:Lithuania","R:Real","628:Index, 2010 = 100","Q:LT:R:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.88","48.97","41.79","40.02","39.72","40.19","37.62","36.06","38.63","44.85","41.51","46.64","53.21","48.21","49.19","52.12","53.9","62.9","58.94","61.06","59.88","65.88","61.93","69.51","78.01","94.93","90.64","98.01","124.49","129.8","129.38","141.46","154.63","159.84","163.6","171.39","168.76","168.68","169.46","164.17","150.48","117.08","111.1","107.05","102.27","99.16","100.59","99.67","100.56","103.51","102.04","101.89","102.09","100.84","98.4","99.05","98.04","98.6","99.52","98.26","100.58","102.23","105.88","108.08","105.86","108.48","110.32","112.83","109.75","111.05","113.23","117.98",""
"Q:Quarterly","LT:Lithuania","R:Real","771:Year-on-year changes, in per cent","Q:LT:R:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-15.27","-17.93","-9.98","-9.9","-2.75","11.61","10.35","29.35","37.74","7.49","18.52","11.74","1.3","30.46","19.82","17.16","11.09","4.75","5.06","13.83","30.28","44.09","46.37","40.99","59.58","36.73","42.74","44.34","24.22","23.14","26.45","21.15","9.13","5.53","3.58","-4.21","-10.83","-30.59","-34.44","-34.8","-32.04","-15.3","-9.46","-6.89","-1.67","4.38","1.44","2.22","1.52","-2.57","-3.57","-2.78","-3.96","-2.22","1.14","-0.8","2.59","3.68","6.39","10","5.24","6.12","4.19","4.4","3.68","2.37","2.64","4.56",""
"Q:Quarterly","LU:Luxembourg","N:Nominal","628:Index, 2010 = 100","Q:LU:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.67","91.29","95","94.48","94.05","96.77","96.42","96.61","94.31","94.9","94.04","96.19","99.94","98.56","100.08","101.42","100.99","103.41","103.41","106.9","105.56","107.63","107.92","111.01","111.25","112.64","114.05","115.72","114","118.2","119.77","121.58","122.03","124.62","126.4","126.1","128.1","131.6","133.5",""
"Q:Quarterly","LU:Luxembourg","N:Nominal","771:Year-on-year changes, in per cent","Q:LU:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.73","6.01","1.49","2.25","0.27","-1.94","-2.47","-0.43","5.97","3.86","6.42","5.44","1.05","4.93","3.33","5.4","4.53","4.08","4.36","3.84","5.39","4.66","5.69","4.25","2.46","4.93","5.01","5.06","7.05","5.44","5.54","3.72","4.97","5.6","5.62",""
"Q:Quarterly","LU:Luxembourg","R:Real","628:Index, 2010 = 100","Q:LU:R:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.39","96.97","100.91","98.97","97.8","98.91","98.21","99.11","97.42","97.09","95.92","97.64","101.24","98.66","99.73","100.39","98.85","99.91","99.88","102.35","100.44","101.4","101.54","103.62","103.66","104.23","105.52","106.62","105.08","108.41","110.11","112.1","112.49","113.7","115.56","115.33","117.8","120.04","121.84",""
"Q:Quarterly","LU:Luxembourg","R:Real","771:Year-on-year changes, in per cent","Q:LU:R:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.42","2","-2.68","0.14","-0.39","-1.84","-2.33","-1.48","3.92","1.61","3.97","2.82","-2.36","1.27","0.15","1.96","1.61","1.49","1.66","1.24","3.2","2.79","3.92","2.9","1.37","4.01","4.35","5.14","7.05","4.88","4.95","2.88","4.71","5.58","5.44",""
"Q:Quarterly","LV:Latvia","N:Nominal","628:Index, 2010 = 100","Q:LV:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111.95","123.48","136.32","148.34","167.51","172.47","186.09","182.67","195.45","191.9","179","150.23","123.18","110.82","109.02","106.21","97.72","98.07","100.6","103.61","108.25","110.15","113.7","109.58","111.05","112.36","115.18","116.26","116.39","121.19","122.61","125.8","128.67","130.56","135.71","120.18","120.26","124.53","124.96","128.08","128.81","136.31","138.51",""
"Q:Quarterly","LV:Latvia","N:Nominal","771:Year-on-year changes, in per cent","Q:LV:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.63","39.67","36.51","23.14","16.68","11.27","-3.81","-17.76","-36.98","-42.25","-39.09","-29.3","-20.67","-11.51","-7.72","-2.45","10.78","12.32","13.02","5.76","2.59","2.01","1.3","6.1","4.81","7.86","6.45","8.21","10.55","7.73","10.68","-4.47","-6.54","-4.62","-7.92","6.57","7.11","9.46","10.84",""
"Q:Quarterly","LV:Latvia","R:Real","628:Index, 2010 = 100","Q:LV:R:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149.19","161.64","176.24","188.63","207.37","207.88","218.09","204.38","207.87","196.51","181.22","150.04","119.96","108.35","108.64","107.22","98.87","97.98","100.39","102.73","105.34","105.04","108.53","104.27","104.49","104.75","108.06","108.89","109.1","113.1","115.13","118.17","120.14","121.04","126.56","112.25","112.3","114.54","116.52","119.52","120.82","126.27","128.87",""
"Q:Quarterly","LV:Latvia","R:Real","771:Year-on-year changes, in per cent","Q:LV:R:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","28.61","23.75","8.35","0.24","-5.47","-16.9","-26.59","-42.29","-44.86","-40.05","-28.54","-17.58","-9.57","-7.59","-4.19","6.55","7.21","8.11","1.5","-0.81","-0.28","-0.44","4.44","4.41","7.98","6.55","8.52","10.12","7.02","9.93","-5.01","-6.53","-5.37","-7.93","6.48","7.59","10.24","10.6",""
"Q:Quarterly","MA:Morocco","N:Nominal","628:Index, 2010 = 100","Q:MA:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.94","91.69","90.56","91.5","93","94.41","95.73","101.55","96.85","96.95","99.86","100.8","105.68","103.9","99.39","99.3","98.07","101.36","100.99","99.58","100.52","100.89","101.83","101.55","101.27","102.21","103.05","104.09","103.43","103.24","103.15","104.09","102.68","103.62","103.52","103.15","108.6","103.52","102.87","104.18","103.52","102.3","",""
"Q:Quarterly","MA:Morocco","N:Nominal","771:Year-on-year changes, in per cent","Q:MA:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1","2.97","5.71","10.99","4.14","2.69","4.32","-0.74","9.12","7.17","-0.47","-1.49","-7.2","-2.44","1.61","0.28","2.49","-0.46","0.84","1.98","0.75","1.3","1.2","2.5","2.13","1.01","0.09","0","-0.73","0.36","0.36","-0.9","5.76","-0.09","-0.64","1","-4.67","-1.18","",""
"Q:Quarterly","MA:Morocco","R:Real","628:Index, 2010 = 100","Q:MA:R:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103.07","99.09","97.66","97.1","99.41","100.46","100.93","105.97","100.75","98.88","101.16","101.45","106.56","105.25","100.09","100.43","98.76","101.45","101.23","98.57","99.65","100.85","100.47","100.19","99.88","100.77","100.39","100.67","99.71","99.32","98.77","99.7","98.55","99.66","98.98","97.67","102.68","97.72","96.54","97.71","96.93","94.75","",""
"Q:Quarterly","MA:Morocco","R:Real","771:Year-on-year changes, in per cent","Q:MA:R:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.55","1.38","3.35","9.14","1.34","-1.56","0.22","-4.27","5.77","6.44","-1.06","-1","-7.31","-3.61","1.14","-1.85","0.9","-0.59","-0.75","1.64","0.23","-0.08","-0.07","0.49","-0.17","-1.44","-1.62","-0.97","-1.17","0.33","0.22","-2.03","4.2","-1.95","-2.47","0.04","-5.6","-3.04","",""
"Q:Quarterly","MK:Macedonia, FYR","N:Nominal","628:Index, 2010 = 100","Q:MK:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.53","78.27","76.43","77.22","77.77","75.64","77.67","74.18","77.47","78.35","76.77","82.22","87.39","93.36","95.82","103.13","99.23","100.68","97.26","95.07","100.32","100.53","98.91","100.24","97.11","98.85","98.9","98.81","98.73","97.31","95.74","95.21","93.44","93.03","94.24","91.81","90.75","92.67","96.26","91.13","92.52","93.66","92.91","91.99","95.39","93.24","92.73","91.21"
"Q:Quarterly","MK:Macedonia, FYR","N:Nominal","771:Year-on-year changes, in per cent","Q:MK:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.62","-3.36","1.62","-3.94","-0.39","3.58","-1.16","10.84","12.8","19.16","24.81","25.43","13.55","7.84","1.5","-7.82","1.1","-0.15","1.7","5.44","-3.2","-1.67","-0.01","-1.43","1.67","-1.56","-3.2","-3.64","-5.36","-4.4","-1.57","-3.57","-2.88","-0.39","2.14","-0.74","1.95","1.07","-3.48","0.94","3.1","-0.45","-0.19","-0.85"
"Q:Quarterly","MK:Macedonia, FYR","R:Real","628:Index, 2010 = 100","Q:MK:R:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.23","89.96","88.45","88.65","87.24","84.04","86.81","82.6","86.01","86.12","83.89","87.52","88.8","93.51","96.78","103.4","99.89","101.35","99.47","97.33","100.85","100.35","99.2","99.6","93.94","94.28","95.64","95.03","93.22","90.74","89.22","87.34","85.27","83.73","85.46","83.13","82.32","84.16","87.61","82.84","84.67","84.86","84.71","83.95","87.29","84.99","84.68","83.39"
"Q:Quarterly","MK:Macedonia, FYR","R:Real","771:Year-on-year changes, in per cent","Q:MK:R:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.12","-6.58","-1.86","-6.83","-1.42","2.48","-3.36","5.96","3.25","8.57","15.36","18.14","12.48","8.38","2.78","-5.86","0.96","-0.98","-0.28","2.33","-6.85","-6.05","-3.59","-4.59","-0.76","-3.76","-6.71","-8.09","-8.53","-7.73","-4.22","-4.82","-3.47","0.52","2.52","-0.35","2.85","0.82","-3.3","1.34","3.1","0.16","-0.04","-0.67"
"Q:Quarterly","MT:Malta","N:Nominal","628:Index, 2010 = 100","Q:MT:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.23","62.04","67.19","65.28","68.48","76.17","78.64","84.45","88.85","93.1","94.73","95.68","103.7","99.45","105.94","104.56","100.77","98.61","99.82","96.56","100.51","100.13","103.3","96.06","97.38","99.73","99.99","97.46","99.41","98.3","105.48","103.4","100.37","98.97","103.62","101.97","101.96","101.86","103.9","107.56","104.68","105.53","112.83","113.16","109.16","112.29","118.35",""
"Q:Quarterly","MT:Malta","N:Nominal","771:Year-on-year changes, in per cent","Q:MT:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.04","22.78","17.04","29.37","29.75","22.23","20.46","13.3","16.71","6.82","11.83","9.28","-2.83","-0.84","-5.78","-7.65","-0.26","1.54","3.49","-0.52","-3.11","-0.4","-3.2","1.46","2.08","-1.43","5.49","6.09","0.97","0.68","-1.76","-1.38","1.58","2.92","0.27","5.48","2.67","3.6","8.59","5.21","4.28","6.41","4.89",""
"Q:Quarterly","MT:Malta","R:Real","628:Index, 2010 = 100","Q:MT:R:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.89","69.84","75.98","71.95","76.09","82.61","85.84","91.97","97.81","101.16","102.09","101.19","110.07","104.13","109.31","105.25","102.85","99.82","101.57","97.56","101.93","100.05","103.41","94.71","96.29","96.8","97.26","93.78","96.24","93.38","100.18","96.66","95.21","92.52","97.02","94.92","95.81","95.38","97.27","99.68","97.71","97.47","104.32","103.73","101.43","103.06","108.6",""
"Q:Quarterly","MT:Malta","R:Real","771:Year-on-year changes, in per cent","Q:MT:R:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.34","18.29","12.97","27.81","28.54","22.45","18.94","10.03","12.53","2.93","7.07","4.02","-6.56","-4.13","-7.09","-7.31","-0.89","0.23","1.82","-2.92","-5.53","-3.25","-5.95","-0.98","-0.05","-3.53","3","3.06","-1.07","-0.92","-3.15","-1.79","0.63","3.08","0.25","5.01","1.98","2.2","7.26","4.06","3.81","5.73","4.1",""
"Q:Quarterly","MX:Mexico","N:Nominal","628:Index, 2010 = 100","Q:MX:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.36","75.84","77.55","77.51","79.09","81.31","81.95","82.21","84.5","88.14","88.43","88.2","88.93","91.2","92.18","93.01","94.66","95.85","97.1","97.43","97.31","100.01","101.65","101.03","101.55","102.6","105.66","106.99","107.79","109.21","109.67","110.09","110.94","113.51","114.48","114.57","116.49","117.32","119.22","120.43","122.2","124.81","129.07","128.56","132.07","134.86","140.36",""
"Q:Quarterly","MX:Mexico","N:Nominal","771:Year-on-year changes, in per cent","Q:MX:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.8","7.21","5.67","6.06","6.85","8.39","7.91","7.29","5.25","3.48","4.24","5.45","6.43","5.09","5.34","4.75","2.8","4.34","4.69","3.7","4.35","2.6","3.94","5.9","6.15","6.44","3.79","2.9","2.92","3.94","4.39","4.07","5.01","3.36","4.14","5.12","4.9","6.38","8.26","6.75","8.08","8.05","8.75",""
